time,Hesperocyoninae,Borophaginae,Caninae,Amphicyonidae,Nimravidae,Felidae,Barbourofelidae,Ursidae
3,0,6,9,0,0,14,0,7
2.9,0,6,9,0,0,13,0,7
2.8,0,5,9,0,0,14,0,7
2.7,0,5,9,0,0,14,0,8
2.59999999999999,0,5,9,0,0,14,0,8
2.5,0,4,9,0,0,14,0,7
2.4,0,4,10,0,0,14,0,7
2.3,0,3,10,0,0,13,0,7
2.2,0,3,11,0,0,12,0,7
2.09999999999999,0,3,14,0,0,12,0,7
2,0,3,14,0,0,12,0,7
1.9,0,3,13,0,0,13,0,6
1.8,0,3,13,0,0,13,0,6
1.7,0,3,14,0,0,14,0,5
1.59999999999999,0,3,14,0,0,14,0,5
1.5,0,3,14,0,0,14,0,5
1.4,0,2,13,0,0,13,0,5
1.3,0,2,13,0,0,13,0,6
1.2,0,2,14,0,0,13,0,6
1.09999999999999,0,2,14,0,0,14,0,5
1,0,2,14,0,0,14,0,5
0.899999999999999,0,2,13,0,0,14,0,5
0.799999999999997,0,2,12,0,0,13,0,5
0.699999999999996,0,2,12,0,0,13,0,5
0.599999999999994,0,1,12,0,0,13,0,5
0.5,0,1,12,0,0,12,0,5
0.399999999999999,0,0,11,0,0,12,0,5
0.299999999999997,0,0,11,0,0,12,0,6
0.199999999999996,0,0,10,0,0,12,0,6
0.0999999999999943,0,0,10,0,0,13,0,6
0,0,0,7,0,0,7,0,3
